phase,sample_index,t_phase_s,t_global_s,s_global_m,S_total_m,mu_x,vx_mps,ax_model_mps2,omega_front_radps,omega_rear_radps,v_front_wheel_mps,v_rear_wheel_mps,v_slip_front_mps,v_slip_rear_mps,kappa_front,kappa_rear,slack_front_mps,slack_rear_mps,M_total_cmd_Nm,M_front_total_cmd_Nm,M_rear_total_cmd_Nm,M_front_per_wheel_cmd_Nm,M_rear_per_wheel_cmd_Nm,M_total_act_Nm,M_front_total_act_Nm,M_rear_total_act_Nm,Fx_front_total_N,Fx_rear_total_N,Fx_total_N,F_resistance_N,Fz_front_total_N,Fz_rear_total_N,Fz_FL_N,Fz_FR_N,Fz_RL_N,Fz_RR_N,P_front_cmd_W,P_rear_cmd_W,P_total_cmd_W,P_total_cmd_kW,P_front_act_W,P_rear_act_W,P_total_act_W,P_total_act_kW,P_total_drive_limit_W,M_total_limit_Nm,M_axle_limit_Nm,power_limited_cmd,torque_limited_front,torque_limited_rear,initial_phase_end_flag,initial_phase_region,initial_phase_end_t_s,initial_phase_end_s_m,initial_phase_end_vx_mps,initial_phase_end_ax_mps2,initial_phase_end_reason
launch,0,0.0,0.0,0.0,25.0,0.7,-3.1878601081314614e-36,-0.36419561403508777,-1.9708919145399672e-35,-3.326221977769939e-35,-3.8432392333529364e-36,-6.486132856651381e-36,-6.553791252214751e-37,-3.2982727485199195e-36,-8.738388336286334e-37,-4.397696998026559e-36,1.910945484701511e-05,1.910945484701511e-05,54.28775254603727,22.12535197120881,32.16240057482845,11.062675985604406,16.081200287414227,1.039389737412329e-32,3.568192530769914e-33,6.825704843353375e-33,1.0722100569048016e-30,-5.839522094489491e-31,4.882578474558525e-31,83.0366,910.170343521961,1326.5096564780392,455.0851717609805,455.0851717609805,663.2548282390196,663.2548282390196,-4.360667730640637e-34,-1.0697928364983492e-33,-1.5058596095624128e-33,-1.5058596095624128e-36,-7.032521808416327e-68,-2.2703809463732715e-67,-2.973633127214904e-67,-2.9736331272149044e-70,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,1,0.033,0.033,-8.927132265752707e-05,25.0,0.7,0.00017688663493428504,0.5637597257305282,0.3103832651346953,0.3259154303614097,0.06052473670126558,0.06355350892047489,0.060347850066331296,0.0633766222855406,0.0804637989694985,0.08450216187228607,0.004097884305766355,0.007126637391005006,111.01065036813635,43.25544587892749,67.75520448920886,21.627722939463744,33.87760224460443,36.552621408193474,14.897275650540019,21.655345757653453,82.75788718178588,128.8159353519905,211.57382253377637,83.03660506721592,883.1269684055998,1353.5530315975793,441.5634842027999,441.5634842027999,676.7765157987897,676.7765157987897,13.425766526758613,22.082466630325825,35.50823315708444,0.03550823315708444,4.623865058026203,7.057811332230753,11.681676390256957,0.011681676390256957,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,2,0.066,0.066,0.0003843342172267143,25.0,0.7,0.03499125939210167,1.547561543653353,0.47792961542165396,0.47984087634849565,0.09319627500722252,0.09356897088795665,0.058205015615120856,0.05857771149585499,0.07756447902661247,0.07806113660017383,0.0019244917791509798,0.0022971721052898065,142.16019062273054,55.396496988509824,86.76369363422072,27.698248494254912,43.38184681711036,86.68614169096976,33.99118563158629,52.69495605938347,169.72040180695052,266.16272482310495,435.8831266300555,83.03909467709099,850.1407218664912,1386.5394025313535,425.0703609332456,425.0703609332456,693.2697012656768,693.2697012656768,26.475626501425314,41.63276678867686,68.10839329010217,0.06810839329010217,16.245394276630087,25.285193894680035,41.53058817131012,0.04153058817131012,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,3,0.099,0.099,0.002498596430538173,25.0,0.7,0.0996479626198529,2.3722895078825084,0.811086996547966,0.8205202295632757,0.15816196432685337,0.16000144476483877,0.05851400170700047,0.06035348214498587,0.07767586922854296,0.08011773335988168,0.0020158403207333696,0.0038552770885053054,174.2976354847084,66.07488760337917,108.22274788132921,33.037443801689584,54.111373940664606,124.03751126300531,48.403648948991446,75.63386231401387,238.70878010924613,385.2248245821995,623.9336046914457,83.05159689423378,822.4884317963099,1414.1925770628818,411.24421589815495,411.24421589815495,707.0962885314409,707.0962885314409,53.59248213346924,88.79895393555675,142.39143606902599,0.142391436069026,39.259570247999584,62.05911406865185,101.31868431665143,0.10131868431665143,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,4,0.132,0.132,0.0071577741408799765,25.0,0.7,0.18920895945001864,3.0572292342765994,1.272278246232336,1.276779909900815,0.24809425801530555,0.24897208243065894,0.0588852985652869,0.05976312298064029,0.07728405518915012,0.07843615651521095,0.001740393819009689,0.0026181826896339417,197.50048465588088,73.94861448334315,123.55187017253775,36.974307241671575,61.77593508626887,157.87828024762572,60.30191450713746,97.57636574048826,293.2443765275297,486.88972313541393,780.1340996629436,83.08583424787896,799.5238560107812,1437.1597812723014,399.7619280053906,399.7619280053906,718.5798906361507,718.5798906361507,94.08321354617895,157.74854566696993,251.83175921314887,0.2518317592131489,76.72081403359311,124.58354345858957,201.3043574921827,0.2013043574921827,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,5,0.165,0.165,0.015115170736421466,25.0,0.7,0.2995734641375616,3.6331765803833935,1.8449148456837035,1.8521241093140277,0.3597583949083222,0.3611642013162354,0.06018493077076059,0.061590737178673804,0.07716860144374393,0.07897111434871881,0.0016914233421812769,0.0030971802370162835,219.56608528611173,80.67402838001284,138.89205690609887,40.33701419000642,69.44602845304944,184.5564050394896,69.49040793902962,115.06599710045997,336.50165112312715,575.0176627968809,911.519313920008,83.15505359259429,780.2148704241181,1456.4742475927403,390.10743521205904,390.10743521205904,728.2371237963702,728.2371237963702,148.8367126193941,257.2453271880016,406.08203980739574,0.40608203980739577,128.20388523933244,213.1165073920199,341.3203926313523,0.34132039263135233,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,6,0.198,0.198,0.027002594626391686,25.0,0.7,0.4274083054605317,4.116201017842707,2.5114685004235153,2.5169458162581213,0.4897363575825855,0.49080443417033365,0.06232805212205378,0.06339612870980194,0.07686350892292086,0.0781806704824058,0.0015112177239346384,0.0025792437516891403,236.69564695563403,85.75632402972337,150.93932292591066,42.87816201486169,75.46966146295533,208.12885973986562,77.02047917573312,131.10838056413252,370.74873687532397,651.017626788919,1021.7663636642429,83.27253159610564,764.0231182722553,1472.675441798278,382.01155913612763,382.01155913612763,736.337720899139,736.337720899139,215.37430651276244,379.90609734720437,595.2804038599668,0.5952804038599668,193.43450733737905,329.99268993727094,523.42719727465,0.52342719727465,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,7,0.231,0.231,0.04335077651814184,25.0,0.7,0.5699623605876509,4.525219733800408,3.2602176343056732,3.266499699728097,0.6357424386896063,0.6369674414469789,0.06578007810195541,0.06700508085932799,0.07664123763672122,0.0780685045257619,0.0014087717611691699,0.002633713598988868,252.36310799048383,90.01601555369223,162.3470924367916,45.008007776846114,81.1735462183958,227.36323414246974,82.9024325566146,144.46080158585514,397.90629892844646,717.2945543462542,1115.2008532747006,83.45075396820765,750.3147338022943,1486.3982716783023,375.15736690114716,375.15736690114716,743.1991358391512,743.1991358391512,293.47180127808116,530.3067286965094,823.7785299745906,0.8237785299745906,270.27997254791165,471.88116500267597,742.1611375505877,0.7421611375505877,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,8,0.264,0.264,0.06460832726590475,25.0,0.7,0.7249752903673937,4.871149184016374,4.080135827153492,4.085667924713702,0.7956264862949309,0.7967052453191719,0.07065119592753721,0.07172995495177814,0.07636345823367101,0.07752943665215818,0.0012616028893099917,0.0023402944959719143,264.99440364475686,93.24873455972013,171.74566908503675,46.62436727986007,85.87283454251838,244.1959612524035,87.69209678018764,156.50386447221584,419.3392492832517,774.9838224552495,1194.3230717385013,83.70105778276817,738.7240725468787,1498.0093273129605,369.36203627343934,369.36203627343934,749.0046636564803,749.0046636564803,380.4675027138401,701.6957713892283,1082.1632741030685,1.0821632741030685,357.795665831055,639.4228191678726,997.2184849989276,0.9972184849989276,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
launch,9,0.29700000000000004,0.29700000000000004,0.0911549871445044,25.0,0.7,0.8905478429421388,5.164897083135473,4.962901351759298,4.968473991912614,0.9677657635930631,0.9688524284229597,0.07721792065092425,0.07830458548082087,0.0761248825257411,0.07719616535521139,0.0011411858262135378,0.002227771784059176,276.2257509118062,95.87994222419411,180.34580868761208,47.939971112097055,90.17290434380604,258.19981212103386,91.4334503550197,166.76636176601414,436.15865703095324,825.4713136383064,1261.6299706692596,84.03343571437175,728.8857382256275,1507.8748382411663,364.44286911281375,364.44286911281375,753.9374191205832,753.9374191205832,475.8426948710563,896.0434600148485,1371.886154885905,1.371886154885905,453.7751943629439,828.5743311603313,1282.3495255232751,1.282349525523275,80000.0,1062.52,531.26,0,0,0,0,initial,0.528,0.44656486120789013,2.2320129241514723,6.2114063822867855,initial_ax_ramp_knee
